2026-05-23 08:56:41,877 [parser] reading multistream index from /mnt/data/downloads/enwiki-20260401-pages-articles-multistream-index.txt.bz2
2026-05-23 11:39:14,763 [parser] reading multistream index from /mnt/surge-data/enwiki-20260401-pages-articles-multistream-index.txt.bz2
2026-05-23 12:02:19,658 [parser] reading multistream index from /mnt/surge-data/enwiki-20260401-pages-articles-multistream-index.txt.bz2
2026-05-23 12:03:14,777 [parser] got 255166 unique offsets
2026-05-23 12:03:14,780 [parser] limited to first 10 offsets (test mode)
2026-05-23 12:03:16,170 [w325880] worker 9 block @10180767 decompress failed: 
2026-05-23 12:14:15,564 [parser] reading multistream index from /mnt/surge-data/enwiki-20260401-pages-articles-multistream-index.txt.bz2
2026-05-23 12:15:11,833 [parser] got 255166 unique offsets
  File "/home/stargazer/Desktop/surge-engine/vectorizer-ai/.venv/lib64/python3.14/site-packages/psycopg2/extras.py", line 1299, in execute_values
    cur.execute(b''.join(parts))
    ~~~~~~~~~~~^^^^^^^^^^^^^^^^^
psycopg2.errors.DataCorrupted: invalid page in block 1440 of relation "base/16384/118188"

2026-05-23 19:53:03,633 [loader] doc batch failed: invalid page in block 1440 of relation "base/16384/118188"
Traceback (most recent call last):
  File "/home/stargazer/Desktop/surge-engine/wiki-parser/loader.py", line 52, in run
    execute_values(
    ~~~~~~~~~~~~~~^
        cur,
        ^^^^
    ...<3 lines>...
        page_size=500,
        ^^^^^^^^^^^^^^
    )
    ^
  File "/home/stargazer/Desktop/surge-engine/vectorizer-ai/.venv/lib64/python3.14/site-packages/psycopg2/extras.py", line 1299, in execute_values
    cur.execute(b''.join(parts))
    ~~~~~~~~~~~^^^^^^^^^^^^^^^^^
psycopg2.errors.DataCorrupted: invalid page in block 1440 of relation "base/16384/118188"

2026-05-23 19:53:31,542 [loader] [LOADER] 125,500 docs written | 4,201,273 links written | 6,000 docs/min
2026-05-23 19:53:42,333 [loader] doc batch failed: invalid page in block 1440 of relation "base/16384/118188"
Traceback (most recent call last):
  File "/home/stargazer/Desktop/surge-engine/wiki-parser/loader.py", line 52, in run
    execute_values(
    ~~~~~~~~~~~~~~^
        cur,
        ^^^^
    ...<3 lines>...
        page_size=500,
        ^^^^^^^^^^^^^^
    )
    ^
  File "/home/stargazer/Desktop/surge-engine/vectorizer-ai/.venv/lib64/python3.14/site-packages/psycopg2/extras.py", line 1299, in execute_values
    cur.execute(b''.join(parts))
    ~~~~~~~~~~~^^^^^^^^^^^^^^^^^
psycopg2.errors.DataCorrupted: invalid page in block 1440 of relation "base/16384/118188"

2026-05-23 19:54:04,063 [loader] doc batch failed: invalid page in block 1440 of relation "base/16384/118188"
Traceback (most recent call last):
  File "/home/stargazer/Desktop/surge-engine/wiki-parser/loader.py", line 52, in run
    execute_values(
    ~~~~~~~~~~~~~~^
        cur,
        ^^^^
    ...<3 lines>...
        page_size=500,
        ^^^^^^^^^^^^^^
    )
    ^
  File "/home/stargazer/Desktop/surge-engine/vectorizer-ai/.venv/lib64/python3.14/site-packages/psycopg2/extras.py", line 1299, in execute_values
    cur.execute(b''.join(parts))
    ~~~~~~~~~~~^^^^^^^^^^^^^^^^^
psycopg2.errors.DataCorrupted: invalid page in block 1440 of relation "base/16384/118188"

2026-05-23 19:54:19,794 [loader] doc batch failed: invalid page in block 1440 of relation "base/16384/118188"
Traceback (most recent call last):
  File "/home/stargazer/Desktop/surge-engine/wiki-parser/loader.py", line 52, in run
    execute_values(
    ~~~~~~~~~~~~~~^
        cur,
        ^^^^
    ...<3 lines>...
        page_size=500,
        ^^^^^^^^^^^^^^
    )
    ^
  File "/home/stargazer/Desktop/surge-engine/vectorizer-ai/.venv/lib64/python3.14/site-packages/psycopg2/extras.py", line 1299, in execute_values
    cur.execute(b''.join(parts))
    ~~~~~~~~~~~^^^^^^^^^^^^^^^^^
psycopg2.errors.DataCorrupted: invalid page in block 1440 of relation "base/16384/118188"

2026-05-23 19:54:31,542 [loader] [LOADER] 134,000 docs written | 4,468,879 links written | 8,500 docs/min
2026-05-23 19:55:31,542 [loader] [LOADER] 141,500 docs written | 4,711,821 links written | 7,500 docs/min
2026-05-23 19:55:52,967 [loader] doc batch failed: invalid page in block 1440 of relation "base/16384/118188"
Traceback (most recent call last):
  File "/home/stargazer/Desktop/surge-engine/wiki-parser/loader.py", line 52, in run
    execute_values(
    ~~~~~~~~~~~~~~^
        cur,
        ^^^^
    ...<3 lines>...
        page_size=500,
        ^^^^^^^^^^^^^^
    )
    ^
  File "/home/stargazer/Desktop/surge-engine/vectorizer-ai/.venv/lib64/python3.14/site-packages/psycopg2/extras.py", line 1299, in execute_values
    cur.execute(b''.join(parts))
    ~~~~~~~~~~~^^^^^^^^^^^^^^^^^
psycopg2.errors.DataCorrupted: invalid page in block 1440 of relation "base/16384/118188"

2026-05-23 19:56:03,359 [loader] doc batch failed: invalid page in block 1440 of relation "base/16384/118188"
Traceback (most recent call last):
  File "/home/stargazer/Desktop/surge-engine/wiki-parser/loader.py", line 52, in run
    execute_values(
    ~~~~~~~~~~~~~~^
        cur,
        ^^^^
    ...<3 lines>...
        page_size=500,
        ^^^^^^^^^^^^^^
    )
    ^
  File "/home/stargazer/Desktop/surge-engine/vectorizer-ai/.venv/lib64/python3.14/site-packages/psycopg2/extras.py", line 1299, in execute_values
    cur.execute(b''.join(parts))
    ~~~~~~~~~~~^^^^^^^^^^^^^^^^^
psycopg2.errors.DataCorrupted: invalid page in block 1440 of relation "base/16384/118188"

2026-05-23 19:56:27,526 [loader] doc batch failed: invalid page in block 1440 of relation "base/16384/118188"
Traceback (most recent call last):
  File "/home/stargazer/Desktop/surge-engine/wiki-parser/loader.py", line 52, in run
    execute_values(
    ~~~~~~~~~~~~~~^
        cur,
